<aRacer MX APP Log File>
Created Date: 2025-02-08 02:35:25
Product ID: 166
Table ID: 01.01.10.01
VSCA: 01.123.17.01
ECU SN: A601162400480B6D
Hardware ID:36-Y340-11SCAX0Func. Code: 0x000003AF
Upgrade Code: 0x00000200
Original Code: 0x000001AF

<VAR ID>
-1,-350208,-350207,-350206,-350205,-349951,-349949,-349947,-349946,-349945,-58361,-58110,-41472,-41467,-41465,-41216,-41215,-41211,-40958,-40957,-40955,-40954,-40704,-40703,-40698,-40448,-40447,-40446,-40445,-40444,-40443,-40442,-40441,-40192,-40191,-40190,-40189,-40188,-40187,-40186,-40185,-35328,-35327,-35326,-35325,-35324,-35323,-35322,-35321,-35072,-35071,-35070,-35069,-35068,-35067,-35066,-31998,-4096,-3840,-3839,-3838,-3837,-3836,-3835,-3834,-3833,-3584,-3583,-3582,-3581,-3580,-3579,-3578,-3577,-3328,-3327,-3326,-3325,-3324,-3323,-3322,-3321,-3072,-3071,-3070,-3069,-3068,-3067,-3066,-3065,-2556,-2304,-2303,-2048,-2047,-2046,-2045,-2044,-2043,-2042,-2041,-1792,-1791,-1790,-1789,-1788,-1787,-1786,-1785,-1024,-1023,-512,-508,20,22,24,25,26,27,28,29,30,33,34,35,44,45,46,51,52,53,55,61,66,70,72,77,78,82,88,98,124,130,135,144,157,158,163,164,165,171,172,274,1183,1265,1398,1420,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,65534,65535
<VAR GROUP>
Stage_1,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Flag,Stage_1,Stage_3,Stage_1,Stage_1,Stage_1,Stage_3,Stage_1,Stage_1,Stage_2,Stage_1,Stage_1,Stage_1,Stage_1,Stage_1,Stage_2,Stage_1,Stage_2,Stage_2,Stage_1,Stage_2,Stage_3,Stage_2,Stage_3,Stage_1,Stage_2,Stage_3,Stage_2,Stage_1,Stage_3,Stage_1,Stage_1,Stage_1,Flag,Flag,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_2,Stage_2,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_3,Stage_1,Stage_1
<VAR NAME>
Time,P0BEB,P0BEC,P0BEF,P0BF0,P0A5F,P0A62,P0A65,P0BE7,P0BE8,WBO2_AT_MALF_Ready,WBO2_AT_TEng_Ready,MGU_eBoost_Ready,MGU_eBoost_On_MIL,MGU_eBoost_SW,MGU_Lock,MGU_Charge_Protect,MGU_Key_On,MGU_Crank,MGU_Charge,MGU_eBoost,MGU_IdleStop,eBoost_Light_Flash,MalfRPMLimit,Inj_Cut,P0AFB,P0C01,P0A3C,P0AFA,P0C05,P0C54,P1601,P0C50,P0C52,P0C53,P0AEF,P0AF0,P0A53,P0A54,P0C0B,P0C0D,P1588,P1125,P1121,P1585,P1124,P1126,P0560,P0562,P1630,P1631,P1632,P1633,P1634,P1639,P1574,TCCtrActEn,Malf_On,P0135,P1135,P0505,P1509,P0263,P0222,P0223,P0660,P1352,P0352,P1131,P1132,P0264,P0265,P1500,P1335,P1117,P1118,P1620,P1499,P0508,P0509,P0335,P0298,P0261,P0262,P1351,P0351,P1650,P0650,P1654,P0654,VVA,Eng_Over_Heat,Neutral_SW,P0122,P0123,P0131,P0132,P0134,P0231,P0232,P0601,P0106,P0107,P0108,P0112,P0113,P0117,P0118,P0563,WBO2_Ready,WBO2_AT_En,Dec_FC_En,Power_En,AFR_Target,Fuel_CL,T_Air,SA,RPM,TPS_AD,TPS_indx,Volt_Batt,Inj_Angle,T_Eng,TPS_Percent,Cyl1_Comn_FuelPW,P_Atm,Cyl1_Eng_AP,NBO2_Volt,Vehicle_Speed,Inst_Fuel_Consump,Avg_Fuel_Consump,AFR_WBO2,Acc_Fuel_Mult,NBO2_AD,Cyl1_Final_VM,Miss_CRK_Cnt,ISC_Air_Flow,Idle_Desir_RPM,Cyl1_Injector_Period_Rate,iAF_B_AFR,Cyl2_Comn_FuelPW,GPS_Speed,GearNum,ETC_APS_Percent,MapNum,MGU_Malf1,MGU_Malf2,MGU_Charge_Volt,MGU_A,MGU_Temp,MGU_eBoostTimer,MGU_Hall_Miss_Cnt,TimeCount,QuickShift_AD_Raw,QuickShiftCutTime,MGU_Energy_Percent,Horsepower,Torque,BMS_Vcell1,BMS_Vcell2,BMS_Vcell3,BMS_Vcell4,BMS_Vtotal,BMS_Imon,BMS_SOC,BMS_MOSFET,BMS_Shunt,BMS_Balance,PH_GPS_Altitude,PH_GPS_Speed
<DATA START>
0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0.00,30,8,1758,52,0,12.9,-0,78,0.0,2.436,98,48.2,382.35,0,0.00,0.41,25.6,0.000,78,144,0,39.45,1824,3.52,25.5,0.000,0,0,0.00,1,0,0,0.0,-240.0,-240.0,0,0,531.2,0,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,-60,-60,-60,16.0,1
100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0.00,30,5,1812,49,0,12.9,-0,78,0.0,2.448,98,48.2,382.35,0,0.00,0.41,25.6,0.000,78,146,0,39.45,1824,3.52,25.5,0.000,0,0,0.00,1,0,0,0.0,-240.0,-240.0,0,0,625.0,0,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,-60,-60,-60,16.0,1
200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0.00,30,8,1856,52,0,12.9,-0,78,0.0,2.448,98,48.2,382.35,0,0.00,0.41,25.6,0.000,78,145,0,39.45,1824,3.52,25.5,0.000,0,0,0.00,1,0,0,0.0,-240.0,-240.0,0,0,726.6,0,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,-60,-60,-60,16.0,1
300.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0.00,30,7,1787,54,1,12.9,-0,78,0.4,2.448,98,48.2,382.35,0,0.00,0.41,25.6,0.000,78,145,0,39.45,1824,3.52,25.5,0.000,0,0,0.00,1,0,0,0.0,-240.0,-240.0,0,0,820.3,0,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,-60,-60,-60,16.0,1
